"","QuarterEnding","HBT","HBTQF","Specialty","SpecialtyQF","Additions","AdditionsQF","Removals","RemovalsQF","Attended","AttendedQF","ReferredBackToGP","ReferredBackToGPQF","Transferred","TransferredQF","TreatmentNoLongerRequired","TreatmentNoLongerRequiredQF","OtherReasons","OtherReasonsQF","date"
"1",20121231,"S92000003","d","Z9","d",510190,"",473900,"",343522,"",33438,"",4857,"",20521,"",17792,"",2012-12-31
"2",20130331,"S92000003","d","Z9","d",506520,"",497710,"",333860,"",31997,"",4535,"",19671,"",14678,"",2013-03-31
"3",20130630,"S92000003","d","Z9","d",540381,"",516021,"",344345,"",31852,"",4163,"",20980,"",14628,"",2013-06-30
"4",20130930,"S92000003","d","Z9","d",536030,"",526435,"",352711,"",35405,"",3654,"",19956,"",12647,"",2013-09-30
"5",20131231,"S92000003","d","Z9","d",534192,"",538502,"",362961,"",36845,"",3828,"",20308,"",12426,"",2013-12-31
"6",20140331,"S92000003","d","Z9","d",541407,"",538647,"",365874,"",34639,"",3409,"",20004,"",11095,"",2014-03-31
"7",20140630,"S92000003","d","Z9","d",548195,"",533678,"",363804,"",36209,"",3682,"",20822,"",11128,"",2014-06-30
"8",20140930,"S92000003","d","Z9","d",534697,"",530895,"",361156,"",37224,"",3188,"",21955,"",11356,"",2014-09-30
"9",20141231,"S92000003","d","Z9","d",532277,"",534185,"",361731,"",38597,"",3410,"",21233,"",12426,"",2014-12-31
"10",20150331,"S92000003","d","Z9","d",534874,"",533931,"",362407,"",36276,"",3411,"",22239,"",12737,"",2015-03-31
"11",20150630,"S92000003","d","Z9","d",548385,"",526233,"",357075,"",35515,"",3560,"",22519,"",13785,"",2015-06-30
"12",20150930,"S92000003","d","Z9","d",542435,"",535504,"",362977,"",37636,"",3355,"",24159,"",13379,"",2015-09-30
"13",20151231,"S92000003","d","Z9","d",532670,"",549057,"",375400,"",39191,"",3288,"",23524,"",13551,"",2015-12-31
"14",20160331,"S92000003","d","Z9","d",539339,"",538641,"",368423,"",35688,"",3132,"",23725,"",13383,"",2016-03-31
"15",20160630,"S92000003","d","Z9","d",565561,"",535062,"",361342,"",36014,"",3880,"",24069,"",14551,"",2016-06-30
"16",20160930,"S92000003","d","Z9","d",534829,"",519709,"",350919,"",35252,"",3485,"",25309,"",15001,"",2016-09-30
"17",20161231,"S92000003","d","Z9","d",512201,"",520061,"",352247,"",35487,"",3383,"",25594,"",14831,"",2016-12-31
"18",20170331,"S92000003","d","Z9","d",538195,"",540013,"",370987,"",34487,"",3700,"",26235,"",15406,"",2017-03-31
"19",20170630,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",2017-06-30
"20",20170930,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",2017-09-30
"21",20171231,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",2017-12-31
"22",20180331,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",2018-03-31
"23",20180630,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",2018-06-30
"24",20180930,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",2018-09-30
"25",20181231,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",NA,":",2018-12-31
"26",20190331,"S92000003","d","Z9","d",542836,"",551659,"",372752,"",35566,"",5566,"",27921,"",20190,"",2019-03-31
"27",20190630,"S92000003","d","Z9","d",550608,"",538651,"",361703,"",34812,"",5641,"",26152,"",24740,"",2019-06-30
"28",20190930,"S92000003","d","Z9","d",541397,"",544506,"",368245,"",35043,"",5666,"",26404,"",25110,"",2019-09-30
"29",20191231,"S92000003","d","Z9","d",506272,"",537478,"",365416,"",35785,"",3418,"",24711,"",23806,"",2019-12-31
"30",20200331,"S92000003","d","Z9","d",464794,"",491300,"",327456,"",32470,"",2669,"",24442,"",24638,"",2020-03-31
"31",20200630,"S92000003","d","Z9","d",204451,"",195883,"",129988,"",15249,"",1162,"",13530,"",15778,"",2020-06-30
"32",20200930,"S92000003","d","Z9","d",358277,"",305170,"",192963,"",20374,"",2087,"",19798,"",22094,"",2020-09-30
"33",20201231,"S92000003","d","Z9","d",399280,"",379038,"",243683,"",28779,"",2663,"",21101,"",25167,"",2020-12-31
"34",20210331,"S92000003","d","Z9","d",396685,"",376422,"",253655,"",27111,"",2218,"",21003,"",25161,"",2021-03-31
"35",20210630,"S92000003","d","Z9","d",478511,"",433524,"",282916,"",30123,"",2405,"",24103,"",29291,"",2021-06-30
"36",20210930,"S92000003","d","Z9","d",466430,"",434035,"",287838,"",32378,"",2655,"",25871,"",27616,"",2021-09-30
"37",20211231,"S92000003","d","Z9","d",458736,"",448512,"",303032,"",35652,"",2048,"",26033,"",26314,"",2021-12-31
"38",20220331,"S92000003","d","Z9","d",468240,"",449421,"",304692,"",31771,"",2336,"",26336,"",26621,"",2022-03-31
"39",20220630,"S92000003","d","Z9","d",487385,"",450366,"",298568,"",31547,"",2537,"",27690,"",27356,"",2022-06-30
"40",20220930,"S92000003","d","Z9","d",491555,"",460819,"",301666,"",30887,"",2595,"",29074,"",27517,"",2022-09-30
"41",20221231,"S92000003","d","Z9","d",478569,"",475399,"",309695,"",33596,"",2851,"",30866,"",27464,"",2022-12-31
"42",20230331,"S92000003","d","Z9","d",498972,"",487099,"",316589,"",NA,":",NA,":",NA,":",NA,":",2023-03-31
"43",20230630,"S92000003","d","Z9","d",511584,"",473992,"",303184,"",NA,":",NA,":",NA,":",NA,":",2023-06-30
"44",20230930,"S92000003","d","Z9","d",501924,"",483717,"",310954,"",NA,":",NA,":",NA,":",NA,":",2023-09-30
"45",20231231,"S92000003","d","Z9","d",489537,"",492323,"",315011,"",NA,":",NA,":",NA,":",NA,":",2023-12-31
"46",20240331,"S92000003","d","Z9","d",506457,"",502068,"",324553,"",NA,":",NA,":",NA,":",NA,":",2024-03-31
