"","X_id","QuarterEnding","HBT","HBTQF","Specialty","SpecialtyQF","NumberSeen","NumberSeenQF","WaitedOver12Weeks","WaitedOver12WeeksQF","Median","MedianQF","X90thPercentile","X90thPercentileQF","date"
"1",31,20121231,"S92000003","d","Z9","d",389292,"",18046,"",39,"",82,"",2012-12-31
"2",21,20130331,"S92000003","d","Z9","d",413718,"",22677,"",39,"",83,"",2013-03-31
"3",1,20130630,"S92000003","d","Z9","d",429039,"",22717,"",39,"",83,"",2013-06-30
"4",11,20130930,"S92000003","d","Z9","d",438160,"",27810,"",42,"",83,"",2013-09-30
"5",32,20131231,"S92000003","d","Z9","d",449574,"",27960,"",42,"",83,"",2013-12-31
"6",22,20140331,"S92000003","d","Z9","d",453857,"",31538,"",42,"",83,"",2014-03-31
"7",2,20140630,"S92000003","d","Z9","d",446741,"",28195,"",42,"",83,"",2014-06-30
"8",12,20140930,"S92000003","d","Z9","d",442182,"",36305,"",44,"",84,"",2014-09-30
"9",33,20141231,"S92000003","d","Z9","d",443476,"",38770,"",42,"",85,"",2014-12-31
"10",23,20150331,"S92000003","d","Z9","d",443760,"",51626,"",43,"",95,"",2015-03-31
"11",3,20150630,"S92000003","d","Z9","d",435910,"",45702,"",42,"",90,"",2015-06-30
"12",13,20150930,"S92000003","d","Z9","d",441772,"",55987,"",45,"",100,"",2015-09-30
"13",34,20151231,"S92000003","d","Z9","d",454627,"",64052,"",46,"",107,"",2015-12-31
"14",24,20160331,"S92000003","d","Z9","d",447298,"",59402,"",42,"",102,"",2016-03-31
"15",4,20160630,"S92000003","d","Z9","d",440851,"",51310,"",41,"",93,"",2016-06-30
"16",14,20160930,"S92000003","d","Z9","d",425795,"",70517,"",45,"",113,"",2016-09-30
"17",35,20161231,"S92000003","d","Z9","d",426384,"",82068,"",44,"",126,"",2016-12-31
"18",25,20170331,"S92000003","d","Z9","d",444942,"",99841,"",45,"",138,"",2017-03-31
"19",5,20170630,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",2017-06-30
"20",15,20170930,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",2017-09-30
"21",36,20171231,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",2017-12-31
"22",26,20180331,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",2018-03-31
"23",6,20180630,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",2018-06-30
"24",16,20180930,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",2018-09-30
"25",37,20181231,"S92000003","d","Z9","d",NA,":",NA,":",NA,":",NA,":",2018-12-31
"26",27,20190331,"S92000003","d","Z9","d",446166,"",116921,"",42,"",160,"",2019-03-31
"27",7,20190630,"S92000003","d","Z9","d",432398,"",96780,"",41,"",146,"",2019-06-30
"28",17,20190930,"S92000003","d","Z9","d",437326,"",106325,"",42,"",146,"",2019-09-30
"29",38,20191231,"S92000003","d","Z9","d",434617,"",104978,"",43,"",147,"",2019-12-31
"30",28,20200331,"S92000003","d","Z9","d",392158,"",94300,"",41,"",142,"",2020-03-31
"31",8,20200630,"S92000003","d","Z9","d",144665,"",34097,"",18,"",141,"",2020-06-30
"32",18,20200930,"S92000003","d","Z9","d",230940,"",70018,"",22,"",204,"",2020-09-30
"33",39,20201231,"S92000003","d","Z9","d",289730,"",88173,"",31,"",266,"",2020-12-31
"34",29,20210331,"S92000003","d","Z9","d",290488,"",84430,"",33,"",254,"",2021-03-31
"35",9,20210630,"S92000003","d","Z9","d",334592,"",95110,"",33,"",250,"",2021-06-30
"36",19,20210930,"S92000003","d","Z9","d",333752,"",99308,"",38,"",244,"",2021-09-30
"37",40,20211231,"S92000003","d","Z9","d",347469,"",110100,"",40,"",243,"",2021-12-31
"38",30,20220331,"S92000003","d","Z9","d",350882,"",115335,"",41,"",254,"",2022-03-31
"39",10,20220630,"S92000003","d","Z9","d",348430,"",109784,"",39,"",253,"",2022-06-30
"40",20,20220930,"S92000003","d","Z9","d",355674,"",120707,"",42,"",272,"",2022-09-30
"41",41,20221231,"S92000003","d","Z9","d",366048,"",131845,"",43,"",282,"",2022-12-31
"42",22831,20230331,"S92000003","d","Z9","d",374277,"",143414,"",NA,":",NA,":",2023-03-31
"43",22829,20230630,"S92000003","d","Z9","d",362425,"",128459,"",NA,":",NA,":",2023-06-30
"44",22830,20230930,"S92000003","d","Z9","d",370442,"",139750,"",NA,":",NA,":",2023-09-30
"45",22833,20231231,"S92000003","d","Z9","d",377163,"",145797,"",NA,":",NA,":",2023-12-31
"46",22832,20240331,"S92000003","d","Z9","d",388453,"",153277,"",NA,":",NA,":",2024-03-31
